"ageID","sourceTypeID","survivalRate","relativeMAR","functioningACFraction","functioningACFractionCV"
"16","54","0.939999998","0.132663808","0.959999979","0"
"17","54","0.930000007","0.130410172","0.959999979","0"
"18","54","0.930000007","0.128156536","0.949999988","0"
"19","54","0.920000017","0.1259029","0.949999988","0"
"20","54","0.920000017","0.123649264","0.949999988","0"
"21","54","0.920000017","0.121395629","0.949999988","0"
"22","54","0.910000026","0.119141993","0.949999988","0"
"23","54","0.910000026","0.116888357","0.949999988","0"
"24","54","0.910000026","0.114634721","0.949999988","0"
"25","54","0.899999976","0.112381086","0.949999988","0"
"26","54","0.899999976","0.11012745","0.949999988","0"
"27","54","0.899999976","0.107873814","0.949999988","0"
"28","54","0.889999986","0.105620178","0.949999988","0"
"29","54","0.889999986","0.103366543","0.949999988","0"
"30","54","0.300000012","0.101112907","0.949999988","0"
"0","61","1","0.525255707","1","0"
"1","61","1","0.525255707","1","0"
"2","61","1","0.525255707","1","0"
"3","61","1","0.525255707","1","0"
"4","61","0.99000001","0.490159947","0.99000001","0"
"5","61","0.980000019","0.455064188","0.99000001","0"
"6","61","0.980000019","0.419968429","0.99000001","0"
"7","61","0.970000029","0.384872669","0.99000001","0"
"8","61","0.970000029","0.34977691","0.980000019","0"
"9","61","0.970000029","0.314681151","0.980000019","0"
"10","61","0.959999979","0.279585391","0.980000019","0"
"11","61","0.959999979","0.244489632","0.980000019","0"
"12","61","0.949999988","0.209393873","0.980000019","0"
"13","61","0.949999988","0.174298113","0.959999979","0"
"14","61","0.949999988","0.139202354","0.959999979","0"
"15","61","0.939999998","0.104106595","0.959999979","0"
"16","61","0.939999998","0.069010835","0.959999979","0"
"17","61","0.930000007","0.065168232","0.959999979","0"
"18","61","0.930000007","0.061325629","0.949999988","0"
"19","61","0.920000017","0.057483025","0.949999988","0"
"20","61","0.920000017","0.053640422","0.949999988","0"
"21","61","0.920000017","0.049797818","0.949999988","0"
"22","61","0.910000026","0.045955215","0.949999988","0"
"23","61","0.910000026","0.042112611","0.949999988","0"
"24","61","0.910000026","0.038270008","0.949999988","0"
"25","61","0.899999976","0.034427405","0.949999988","0"
"26","61","0.899999976","0.030584801","0.949999988","0"
"27","61","0.899999976","0.026742198","0.949999988","0"
"28","61","0.889999986","0.022899594","0.949999988","0"
"29","61","0.889999986","0.019056991","0.949999988","0"
"30","61","0.300000012","0.015214387","0.949999988","0"
"0","62","1","1","1","0"
"1","62","1","1","1","0"
"2","62","1","1","1","0"
"3","62","1","1","1","0"
"4","62","0.99000001","0.947268127","0.99000001","0"
"5","62","0.980000019","0.894536254","0.99000001","0"
"6","62","0.980000019","0.841804381","0.99000001","0"
"7","62","0.970000029","0.789072507","0.99000001","0"
"8","62","0.970000029","0.736340634","0.980000019","0"
"9","62","0.970000029","0.683608761","0.980000019","0"
"10","62","0.959999979","0.630876888","0.980000019","0"
"11","62","0.959999979","0.578145015","0.980000019","0"
"12","62","0.949999988","0.525413142","0.980000019","0"
"13","62","0.949999988","0.472681268","0.959999979","0"
"14","62","0.949999988","0.419949395","0.959999979","0"
"15","62","0.939999998","0.367217522","0.959999979","0"
"16","62","0.939999998","0.314485649","0.959999979","0"
"17","62","0.930000007","0.295703714","0.959999979","0"
"18","62","0.930000007","0.276921779","0.949999988","0"
"19","62","0.920000017","0.258139844","0.949999988","0"
"20","62","0.920000017","0.23935791","0.949999988","0"
"21","62","0.920000017","0.220575975","0.949999988","0"
"22","62","0.910000026","0.20179404","0.949999988","0"
"23","62","0.910000026","0.183012105","0.949999988","0"
"24","62","0.910000026","0.16423017","0.949999988","0"
"25","62","0.899999976","0.145448235","0.949999988","0"
"26","62","0.899999976","0.126666301","0.949999988","0"
"27","62","0.899999976","0.107884366","0.949999988","0"
"28","62","0.889999986","0.089102431","0.949999988","0"
"29","62","0.889999986","0.070320496","0.949999988","0"
"30","62","0.300000012","0.051538561","0.949999988","0"
