"yearID","countyID","sourceTypeID","activitytypeID","activitytype","activity"
"2051","49057","31","6","population","125387"
"2051","49057","21","6","population","41250"
"2051","49057","11","6","population","6607"
"2050","49057","62","6","population","555"
"2050","49057","61","6","population","1032"
"2050","49057","54","6","population","1111"
"2050","49057","53","6","population","377"
"2050","49057","52","6","population","8339"
"2050","49057","51","6","population","57"
"2050","49057","43","6","population","401"
"2050","49057","42","6","population","94"
"2050","49057","41","6","population","302"
"2050","49057","32","6","population","12477"
"2050","49057","31","6","population","124270"
"2050","49057","21","6","population","41315"
"2050","49057","11","6","population","6566"
"2049","49057","62","6","population","556"
"2049","49057","61","6","population","1033"
"2049","49057","54","6","population","1095"
"2049","49057","53","6","population","372"
"2049","49057","52","6","population","8221"
"2049","49057","51","6","population","56"
"2049","49057","43","6","population","398"
"2049","49057","42","6","population","93"
"2049","49057","41","6","population","299"
"2049","49057","32","6","population","12366"
"2049","49057","31","6","population","123162"
"2049","49057","21","6","population","41379"
"2049","49057","11","6","population","6526"
"2048","49057","62","6","population","556"
"2048","49057","61","6","population","1033"
"2048","49057","54","6","population","1079"
"2048","49057","53","6","population","366"
"2048","49057","52","6","population","8099"
"2048","49057","51","6","population","55"
"2048","49057","43","6","population","394"
"2048","49057","42","6","population","92"
"2048","49057","41","6","population","296"
"2048","49057","32","6","population","12257"
"2048","49057","31","6","population","122075"
"2048","49057","21","6","population","41471"
"2048","49057","11","6","population","6488"
"2047","49057","62","6","population","555"
"2047","49057","61","6","population","1032"
"2047","49057","54","6","population","1061"
"2047","49057","53","6","population","360"
"2047","49057","52","6","population","7970"
"2047","49057","51","6","population","54"
"2047","49057","43","6","population","389"
"2047","49057","42","6","population","91"
"2047","49057","41","6","population","293"
"2047","49057","32","6","population","12148"
"2047","49057","31","6","population","120988"
"2047","49057","21","6","population","41574"
"2047","49057","11","6","population","6450"
"2046","49057","62","6","population","554"
"2046","49057","61","6","population","1029"
"2046","49057","54","6","population","1044"
"2046","49057","53","6","population","354"
"2046","49057","52","6","population","7841"
"2046","49057","51","6","population","53"
"2046","49057","43","6","population","385"
"2046","49057","42","6","population","90"
"2046","49057","41","6","population","289"
"2046","49057","32","6","population","12035"
"2046","49057","31","6","population","119871"
"2046","49057","21","6","population","41693"
"2046","49057","11","6","population","6412"
"2045","49057","62","6","population","552"
"2045","49057","61","6","population","1026"
"2045","49057","54","6","population","1027"
"2045","49057","53","6","population","349"
"2045","49057","52","6","population","7713"
"2045","49057","51","6","population","52"
"2045","49057","43","6","population","380"
"2045","49057","42","6","population","89"
"2045","49057","41","6","population","286"
"2045","49057","32","6","population","11922"
"2045","49057","31","6","population","118746"
"2045","49057","21","6","population","41817"
"2045","49057","11","6","population","6374"
"2044","49057","62","6","population","549"
"2044","49057","61","6","population","1021"
"2044","49057","54","6","population","1009"
"2044","49057","53","6","population","343"
"2044","49057","52","6","population","7579"
"2044","49057","51","6","population","51"
"2044","49057","43","6","population","375"
"2044","49057","42","6","population","88"
"2044","49057","41","6","population","282"
"2044","49057","32","6","population","11805"
"2044","49057","31","6","population","117581"
"2044","49057","21","6","population","41993"
"2044","49057","11","6","population","6336"
"2043","49057","62","6","population","547"
"2043","49057","61","6","population","1016"
"2043","49057","54","6","population","991"
"2043","49057","53","6","population","337"
"2043","49057","52","6","population","7443"
"2043","49057","51","6","population","51"
"2043","49057","43","6","population","370"
"2043","49057","42","6","population","87"
"2043","49057","41","6","population","278"
"2043","49057","32","6","population","11688"
"2043","49057","31","6","population","116411"
"2043","49057","21","6","population","42199"
"2043","49057","11","6","population","6300"
"2042","49057","62","6","population","545"
"2042","49057","61","6","population","1012"
"2042","49057","54","6","population","974"
"2042","49057","53","6","population","331"
"2042","49057","52","6","population","7315"
"2042","49057","51","6","population","50"
"2042","49057","43","6","population","365"
"2042","49057","42","6","population","86"
"2042","49057","41","6","population","275"
"2042","49057","32","6","population","11569"
"2042","49057","31","6","population","115226"
"2042","49057","21","6","population","42440"
"2042","49057","11","6","population","6264"
"2041","49057","62","6","population","543"
"2041","49057","61","6","population","1009"
"2041","49057","54","6","population","958"
"2041","49057","53","6","population","325"
"2041","49057","52","6","population","7197"
"2041","49057","51","6","population","49"
"2041","49057","43","6","population","361"
"2041","49057","42","6","population","85"
"2041","49057","41","6","population","271"
"2041","49057","32","6","population","11449"
"2041","49057","31","6","population","114029"
"2041","49057","21","6","population","42716"
"2041","49057","11","6","population","6229"
"2040","49057","62","6","population","542"
"2040","49057","61","6","population","1008"
"2040","49057","54","6","population","943"
"2040","49057","53","6","population","320"
"2040","49057","52","6","population","7079"
"2040","49057","51","6","population","48"
"2040","49057","43","6","population","357"
"2040","49057","42","6","population","84"
"2040","49057","41","6","population","268"
"2040","49057","32","6","population","11326"
"2040","49057","31","6","population","112806"
"2040","49057","21","6","population","43056"
"2040","49057","11","6","population","6196"
"2039","49057","62","6","population","540"
"2039","49057","61","6","population","1005"
"2039","49057","54","6","population","927"
"2039","49057","53","6","population","315"
"2039","49057","52","6","population","6963"
"2039","49057","51","6","population","47"
"2039","49057","43","6","population","352"
"2039","49057","42","6","population","83"
"2039","49057","41","6","population","265"
"2039","49057","32","6","population","11200"
"2039","49057","31","6","population","111546"
"2039","49057","21","6","population","43471"
"2039","49057","11","6","population","6165"
"2038","49057","62","6","population","538"
"2038","49057","61","6","population","1000"
"2038","49057","54","6","population","911"
"2038","49057","53","6","population","309"
"2038","49057","52","6","population","6844"
"2038","49057","51","6","population","46"
"2038","49057","43","6","population","348"
"2038","49057","42","6","population","82"
